name;latitude;longitude;xp_reward;category
Kossuth Lajos tér;47.50705035856972;19.04763256763461;20;Kulturalis
Parlamenti nézõpont;47.507759393857334;19.03974488317089;20;Kulturalis
Zenélõ szökõkút;47.51882106795209;19.044745180690104;20;Kulturalis
Halászbástya;47.5021934413592;19.034776089824238;20;Kulturalis
Citadella - A Szabadság Bástyája;47.48692188900143;19.047064911001293;30;Kulturalis
